Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,CN,27-12-2020,Đà Lạt,G.8,65
Miền nam,CN,27-12-2020,Đà Lạt,G.7,828
Miền nam,CN,27-12-2020,Đà Lạt,G.6,0016
Miền nam,CN,27-12-2020,Đà Lạt,G.6,5142
Miền nam,CN,27-12-2020,Đà Lạt,G.6,4427
Miền nam,CN,27-12-2020,Đà Lạt,G.5,5938
Miền nam,CN,27-12-2020,Đà Lạt,G.4,36367
Miền nam,CN,27-12-2020,Đà Lạt,G.4,13671
Miền nam,CN,27-12-2020,Đà Lạt,G.4,96713
Miền nam,CN,27-12-2020,Đà Lạt,G.4,36100
Miền nam,CN,27-12-2020,Đà Lạt,G.4,36183
Miền nam,CN,27-12-2020,Đà Lạt,G.4,17630
Miền nam,CN,27-12-2020,Đà Lạt,G.4,90218
Miền nam,CN,27-12-2020,Đà Lạt,G.3,65823
Miền nam,CN,27-12-2020,Đà Lạt,G.3,03001
Miền nam,CN,27-12-2020,Đà Lạt,G.2,06774
Miền nam,CN,27-12-2020,Đà Lạt,G.1,41822
Miền nam,CN,27-12-2020,Đà Lạt,ĐB,601438
Miền nam,CN,27-12-2020,Kiên Giang,G.8,74
Miền nam,CN,27-12-2020,Kiên Giang,G.7,116
Miền nam,CN,27-12-2020,Kiên Giang,G.6,9578
Miền nam,CN,27-12-2020,Kiên Giang,G.6,2920
Miền nam,CN,27-12-2020,Kiên Giang,G.6,2898
Miền nam,CN,27-12-2020,Kiên Giang,G.5,4468
Miền nam,CN,27-12-2020,Kiên Giang,G.4,53246
Miền nam,CN,27-12-2020,Kiên Giang,G.4,48285
Miền nam,CN,27-12-2020,Kiên Giang,G.4,00887
Miền nam,CN,27-12-2020,Kiên Giang,G.4,61927
Miền nam,CN,27-12-2020,Kiên Giang,G.4,49393
Miền nam,CN,27-12-2020,Kiên Giang,G.4,08151
Miền nam,CN,27-12-2020,Kiên Giang,G.4,72901
Miền nam,CN,27-12-2020,Kiên Giang,G.3,70793
Miền nam,CN,27-12-2020,Kiên Giang,G.3,89569
Miền nam,CN,27-12-2020,Kiên Giang,G.2,87659
Miền nam,CN,27-12-2020,Kiên Giang,G.1,42416
Miền nam,CN,27-12-2020,Kiên Giang,ĐB,885252
Miền nam,CN,27-12-2020,Tiền Giang,G.8,57
Miền nam,CN,27-12-2020,Tiền Giang,G.7,156
Miền nam,CN,27-12-2020,Tiền Giang,G.6,0049
Miền nam,CN,27-12-2020,Tiền Giang,G.6,2166
Miền nam,CN,27-12-2020,Tiền Giang,G.6,3230
Miền nam,CN,27-12-2020,Tiền Giang,G.5,3568
Miền nam,CN,27-12-2020,Tiền Giang,G.4,29107
Miền nam,CN,27-12-2020,Tiền Giang,G.4,49925
Miền nam,CN,27-12-2020,Tiền Giang,G.4,62444
Miền nam,CN,27-12-2020,Tiền Giang,G.4,59327
Miền nam,CN,27-12-2020,Tiền Giang,G.4,25868
Miền nam,CN,27-12-2020,Tiền Giang,G.4,69403
Miền nam,CN,27-12-2020,Tiền Giang,G.4,88248
Miền nam,CN,27-12-2020,Tiền Giang,G.3,87098
Miền nam,CN,27-12-2020,Tiền Giang,G.3,00043
Miền nam,CN,27-12-2020,Tiền Giang,G.2,04944
Miền nam,CN,27-12-2020,Tiền Giang,G.1,56042
Miền nam,CN,27-12-2020,Tiền Giang,ĐB,055833
Miền trung,CN,27-12-2020,Khánh Hòa,G.8,16
Miền trung,CN,27-12-2020,Khánh Hòa,G.7,776
Miền trung,CN,27-12-2020,Khánh Hòa,G.6,0345
Miền trung,CN,27-12-2020,Khánh Hòa,G.6,6716
Miền trung,CN,27-12-2020,Khánh Hòa,G.6,8379
Miền trung,CN,27-12-2020,Khánh Hòa,G.5,2647
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,22639
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,91613
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,56697
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,01257
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,09454
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,75093
Miền trung,CN,27-12-2020,Khánh Hòa,G.4,85812
Miền trung,CN,27-12-2020,Khánh Hòa,G.3,00429
Miền trung,CN,27-12-2020,Khánh Hòa,G.3,91943
Miền trung,CN,27-12-2020,Khánh Hòa,G.2,29877
Miền trung,CN,27-12-2020,Khánh Hòa,G.1,78550
Miền trung,CN,27-12-2020,Khánh Hòa,ĐB,922682
Miền trung,CN,27-12-2020,Kon Tum,G.8,24
Miền trung,CN,27-12-2020,Kon Tum,G.7,989
Miền trung,CN,27-12-2020,Kon Tum,G.6,4985
Miền trung,CN,27-12-2020,Kon Tum,G.6,9774
Miền trung,CN,27-12-2020,Kon Tum,G.6,2967
Miền trung,CN,27-12-2020,Kon Tum,G.5,0286
Miền trung,CN,27-12-2020,Kon Tum,G.4,53714
Miền trung,CN,27-12-2020,Kon Tum,G.4,49993
Miền trung,CN,27-12-2020,Kon Tum,G.4,29061
Miền trung,CN,27-12-2020,Kon Tum,G.4,84726
Miền trung,CN,27-12-2020,Kon Tum,G.4,80375
Miền trung,CN,27-12-2020,Kon Tum,G.4,65988
Miền trung,CN,27-12-2020,Kon Tum,G.4,59838
Miền trung,CN,27-12-2020,Kon Tum,G.3,03940
Miền trung,CN,27-12-2020,Kon Tum,G.3,46891
Miền trung,CN,27-12-2020,Kon Tum,G.2,31729
Miền trung,CN,27-12-2020,Kon Tum,G.1,08326
Miền trung,CN,27-12-2020,Kon Tum,ĐB,198200
Miền bắc,Chủ Nhật,27-12-2020,Thái Bình,ĐB,85971
Miền bắc,Chủ Nhật,27-12-2020,Thái Bình,G1,38070
Miền bắc,Chủ Nhật,27-12-2020,Thái Bình,G2,13420
Miền bắc,Chủ Nhật,27-12-2020,Thái Bình,G2,19315
Miền bắc,Chủ Nhật,27-12-2020,Thái Bình,G3,58913
