Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.8,86
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.7,378
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.6,4621
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.6,1028
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.6,0527
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.5,9635
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,22047
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,54798
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,84450
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,53009
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,60131
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,02480
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.4,76623
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.3,22828
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.3,84444
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.2,47742
Miền trung,Thứ 2,22-06-2020,Phú Yên,G.1,34857
Miền trung,Thứ 2,22-06-2020,Phú Yên,ĐB,826016
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.8,73
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.7,374
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.6,7559
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.6,6501
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.6,0699
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.5,5908
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,54917
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,86693
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,88691
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,31244
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,32120
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,21074
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.4,81646
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.3,75105
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.3,56631
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.2,29583
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,G.1,88577
Miền trung,Thứ 2,22-06-2020,Thừa Thiên Huế,ĐB,702100
Miền bắc,Thứ 2,22-06-2020,Hà Nội,ĐB,67617
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G1,54083
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G2,70006
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G2,04609
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,47630
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,65905
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,31256
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,55693
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,85433
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G3,09538
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G4,3649
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G4,6217
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G4,6462
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G4,9507
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,4649
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,9025
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,5505
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,1021
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,1233
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G5,7526
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G6,088
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G6,943
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G6,019
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G7,43
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G7,52
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G7,22
Miền bắc,Thứ 2,22-06-2020,Hà Nội,G7,09
