Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.8,98
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.7,969
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.6,2915
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.6,3046
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.6,6765
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.5,8606
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,22360
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,22400
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,77535
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,91270
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,35841
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,32139
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.4,35407
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.3,55928
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.3,82466
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.2,33590
Miền nam,Thứ 2,01-05-2020,Cà Mau,G.1,44034
Miền nam,Thứ 2,01-05-2020,Cà Mau,ĐB,320212
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.8,67
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.7,351
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.6,3285
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.6,1603
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.6,4869
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.5,3906
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,18029
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,79857
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,92474
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,10464
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,95698
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,96556
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.4,13109
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.3,78390
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.3,59776
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.2,39982
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,G.1,25960
Miền nam,Thứ 2,01-05-2020,Đồng Tháp,ĐB,480245
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.8,88
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.7,252
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.6,4538
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.6,4334
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.6,7652
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.5,9283
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,31186
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,81609
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,92938
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,34666
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,74989
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,72240
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.4,70515
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.3,84614
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.3,30371
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.2,25344
Miền nam,Thứ 2,01-05-2020,TP.HCM,G.1,92711
Miền nam,Thứ 2,01-05-2020,TP.HCM,ĐB,577014
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.8,88
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.7,420
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.6,6450
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.6,4230
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.6,5023
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.5,1686
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,21119
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,18504
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,93995
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,38401
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,86993
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,77388
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.4,01263
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.3,14279
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.3,67608
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.2,71788
Miền trung,Thứ 6,01-05-2020,Gia Lai,G.1,75339
Miền trung,Thứ 6,01-05-2020,Gia Lai,ĐB,051830
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.8,16
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.7,634
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.6,4186
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.6,9015
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.6,1951
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.5,6963
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,52499
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,94518
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,33482
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,88918
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,79756
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,50403
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.4,47095
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.3,55970
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.3,00713
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.2,42613
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,G.1,28937
Miền trung,Thứ 6,01-05-2020,Ninh Thuận,ĐB,297238
Miền bắc,Thứ 2,01-05-2020,Hà Nội,ĐB,02419
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G1,49825
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G2,45280
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G2,80176
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,84866
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,75055
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,75764
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,45699
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,77394
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G3,35548
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G4,1792
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G4,6805
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G4,0668
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G4,6836
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,5381
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,5016
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,1500
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,1149
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,6339
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G5,5095
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G6,565
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G6,665
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G6,553
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G7,97
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G7,43
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G7,73
Miền bắc,Thứ 2,01-05-2020,Hà Nội,G7,95
