Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.8,88
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.7,792
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.6,0874
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.6,3037
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.6,7438
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.5,0389
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,50881
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,25330
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,11615
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,16033
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,19273
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,87176
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.4,84501
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.3,09979
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.3,40222
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.2,50207
Miền nam,Thứ 6,26-06-2020,Bình Dương,G.1,28181
Miền nam,Thứ 6,26-06-2020,Bình Dương,ĐB,763441
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.8,76
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.7,647
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.6,0199
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.6,8084
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.6,8412
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.5,3730
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,66846
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,84069
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,23045
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,36564
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,06060
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,12845
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.4,45343
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.3,07801
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.3,92406
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.2,70690
Miền nam,Thứ 6,26-06-2020,Trà Vinh,G.1,34534
Miền nam,Thứ 6,26-06-2020,Trà Vinh,ĐB,331723
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.8,37
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.7,857
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.6,7301
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.6,3226
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.6,8700
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.5,5468
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,16385
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,09515
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,87119
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,09844
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,85972
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,44818
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.4,28847
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.3,14168
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.3,95967
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.2,68592
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,G.1,45391
Miền nam,Thứ 6,26-06-2020,Vĩnh Long,ĐB,848702
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.8,61
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.7,371
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.6,2888
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.6,0939
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.6,0856
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.5,3810
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,09316
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,86882
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,20613
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,24889
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,47061
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,13059
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.4,65054
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.3,29939
Miền trung,Thứ 6,26-06-2020,Gia Lai,G.3,46062
