Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.8,80
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.7,435
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.6,6532
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.6,6937
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.6,9607
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.5,2422
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,00999
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,53963
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,00717
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,97876
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,00938
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,50303
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.4,98428
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.3,58791
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.3,26370
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.2,11905
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,G.1,92550
Miền nam,Thứ 3,17-11-2020,Bạc Liêu,ĐB,732262
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.8,04
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.7,694
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.6,9097
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.6,5254
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.6,5775
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.5,2903
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,63482
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,99352
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,26714
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,43927
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,76512
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,15900
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.4,35622
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.3,96940
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.3,65730
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.2,73575
Miền nam,Thứ 3,17-11-2020,Bến Tre,G.1,80778
Miền nam,Thứ 3,17-11-2020,Bến Tre,ĐB,308227
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.8,66
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.7,187
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.6,5026
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.6,2306
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.6,5349
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.5,8982
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.4,85433
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.4,00837
Miền nam,Thứ 3,17-11-2020,Vũng Tàu,G.4,76424
