Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.8,45
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.7,325
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.6,4156
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.6,8988
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.6,0717
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.5,8568
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,08043
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,05042
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,34715
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,85838
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,40610
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,69857
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.4,52648
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.3,59440
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.3,44428
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.2,42630
Miền nam,Thứ 4,25-11-2020,Cần Thơ,G.1,25636
Miền nam,Thứ 4,25-11-2020,Cần Thơ,ĐB,107847
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.8,07
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.7,529
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.6,4814
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.6,7467
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.6,8528
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.5,1153
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,78750
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,63170
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,55958
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,73882
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,98027
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,28411
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.4,25924
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.3,18856
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.3,37466
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.2,52972
Miền nam,Thứ 4,25-11-2020,Đồng Nai,G.1,51832
Miền nam,Thứ 4,25-11-2020,Đồng Nai,ĐB,782357
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.8,68
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.7,737
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.6,1695
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.6,2243
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.6,3559
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.5,4151
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,76808
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,64627
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,98959
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,17222
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,84580
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,22223
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.4,40469
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.3,45598
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.3,05538
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.2,54833
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,G.1,75256
Miền nam,Thứ 4,25-11-2020,Sóc Trăng,ĐB,074117
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.8,44
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.7,430
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.6,6535
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.6,2185
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.6,6813
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.5,9227
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,23317
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,03637
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,57333
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,76928
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,14026
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,77243
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.4,34944
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.3,78702
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.3,34592
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.2,66676
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,G.1,65413
Miền trung,Thứ 4,25-11-2020,Đà Nẵng,ĐB,412766
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.8,20
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.7,108
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.6,3232
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.6,3985
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.6,0927
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.5,6683
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,36613
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,78039
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,99430
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,49271
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,99110
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,98802
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.4,48868
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.3,21021
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.3,66098
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.2,19045
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,G.1,66774
Miền trung,Thứ 4,25-11-2020,Khánh Hòa,ĐB,075944
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,ĐB,72036
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G1,58061
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G2,18654
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G2,40402
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,92492
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,71757
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,69484
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,78348
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,58292
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G3,10085
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G4,3405
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G4,5108
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G4,1772
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G4,8432
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,6668
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,4825
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,4190
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,9137
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,9835
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G5,1679
Miền bắc,Thứ 4,25-11-2020,Bắc Ninh,G6,169
