Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 5,24-09-2020,An Giang,G.8,46
Miền nam,Thứ 5,24-09-2020,An Giang,G.7,715
Miền nam,Thứ 5,24-09-2020,An Giang,G.6,6198
Miền nam,Thứ 5,24-09-2020,An Giang,G.6,3672
Miền nam,Thứ 5,24-09-2020,An Giang,G.6,5235
Miền nam,Thứ 5,24-09-2020,An Giang,G.5,2623
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,89640
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,59391
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,77177
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,93768
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,64746
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,12357
Miền nam,Thứ 5,24-09-2020,An Giang,G.4,07338
Miền nam,Thứ 5,24-09-2020,An Giang,G.3,22050
Miền nam,Thứ 5,24-09-2020,An Giang,G.3,39466
Miền nam,Thứ 5,24-09-2020,An Giang,G.2,07042
Miền nam,Thứ 5,24-09-2020,An Giang,G.1,69977
Miền nam,Thứ 5,24-09-2020,An Giang,ĐB,277345
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.8,96
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.7,679
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.6,5638
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.6,8198
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.6,1963
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.5,5373
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,82667
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,91773
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,99868
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,71136
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,25591
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,50939
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.4,78536
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.3,33539
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.3,15988
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.2,55973
Miền nam,Thứ 5,24-09-2020,Bình Thuận,G.1,64216
Miền nam,Thứ 5,24-09-2020,Bình Thuận,ĐB,231487
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.8,58
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.7,940
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.6,5313
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.6,4486
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.6,0491
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.5,1293
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,28047
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,43808
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,17900
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,82473
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,08025
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,35825
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.4,51758
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.3,43408
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.3,21975
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.2,97020
Miền nam,Thứ 5,24-09-2020,Tây Ninh,G.1,55687
Miền nam,Thứ 5,24-09-2020,Tây Ninh,ĐB,438912
Miền trung,Thứ 5,24-09-2020,Bình Định,G.8,42
Miền trung,Thứ 5,24-09-2020,Bình Định,G.7,112
Miền trung,Thứ 5,24-09-2020,Bình Định,G.6,4624
Miền trung,Thứ 5,24-09-2020,Bình Định,G.6,9993
Miền trung,Thứ 5,24-09-2020,Bình Định,G.6,5985
Miền trung,Thứ 5,24-09-2020,Bình Định,G.5,2138
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,17019
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,51169
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,18821
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,48970
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,57646
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,73406
Miền trung,Thứ 5,24-09-2020,Bình Định,G.4,76614
Miền trung,Thứ 5,24-09-2020,Bình Định,G.3,29026
Miền trung,Thứ 5,24-09-2020,Bình Định,G.3,72456
Miền trung,Thứ 5,24-09-2020,Bình Định,G.2,43878
Miền trung,Thứ 5,24-09-2020,Bình Định,G.1,78910
