Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.8,06
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.7,577
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.6,5583
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.6,1838
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.6,4276
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.5,8969
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,86686
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,39248
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,42449
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,06671
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,14058
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,98175
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.4,91268
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.3,96750
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.3,83870
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.2,14863
Miền nam,Thứ 4,15-01-2020,Cần Thơ,G.1,23680
Miền nam,Thứ 4,15-01-2020,Cần Thơ,ĐB,150419
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.8,93
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.7,719
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.6,5489
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.6,3418
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.6,1940
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.5,1549
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,62155
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,51590
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,14041
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,84248
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,32744
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,58997
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.4,11273
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.3,02174
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.3,44708
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.2,21390
Miền nam,Thứ 4,15-01-2020,Đồng Nai,G.1,13265
Miền nam,Thứ 4,15-01-2020,Đồng Nai,ĐB,397704
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.8,65
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.7,389
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.6,1507
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.6,1300
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.6,8971
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.5,9729
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,45869
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,55044
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,22914
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,07387
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,64055
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,30274
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.4,47964
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.3,85401
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.3,94502
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.2,49299
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,G.1,00904
Miền nam,Thứ 4,15-01-2020,Sóc Trăng,ĐB,622712
