Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.8,95
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.7,469
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.6,3489
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.6,2462
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.6,3373
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.5,6139
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,67491
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,54271
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,20286
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,18562
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,47742
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,80077
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.4,71885
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.3,84119
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.3,88908
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.2,32773
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,G.1,09766
Miền nam,Thứ 3,30-06-2020,Bạc Liêu,ĐB,248483
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.8,96
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.7,540
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.6,5696
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.6,7015
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.6,8478
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.5,2727
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,07967
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,34875
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,88516
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,46762
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,60379
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,60286
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.4,44095
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.3,47217
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.3,31146
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.2,82485
Miền nam,Thứ 3,30-06-2020,Bến Tre,G.1,66738
Miền nam,Thứ 3,30-06-2020,Bến Tre,ĐB,275304
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.8,26
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.7,988
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.6,8231
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.6,6758
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.6,6143
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.5,6914
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,38092
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,32381
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,10320
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,25278
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,49819
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,51414
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.4,20462
Miền nam,Thứ 3,30-06-2020,Vũng Tàu,G.3,89633
