Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.8,75
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.7,149
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.6,2024
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.6,3653
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.6,1395
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.5,4698
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,57222
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,13260
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,07309
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,90130
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,91220
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,56175
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.4,05421
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.3,86687
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.3,39491
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.2,98523
Miền nam,Thứ 2,05-10-2020,Cà Mau,G.1,32099
Miền nam,Thứ 2,05-10-2020,Cà Mau,ĐB,076465
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.8,07
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.7,901
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.6,1405
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.6,9889
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.6,0975
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.5,4319
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,94165
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,75406
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,54127
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,16267
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,79558
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,97677
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.4,70565
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.3,21494
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.3,49812
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.2,75315
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,G.1,20281
Miền nam,Thứ 2,05-10-2020,Đồng Tháp,ĐB,522282
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.8,34
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.7,485
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.6,1868
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.6,6410
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.6,5257
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.5,0487
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,05584
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,27745
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,57248
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,18101
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,45338
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,77710
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.4,11176
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.3,90633
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.3,81737
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.2,27339
Miền nam,Thứ 2,05-10-2020,TP.HCM,G.1,61784
Miền nam,Thứ 2,05-10-2020,TP.HCM,ĐB,614347
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.8,32
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.7,977
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.6,3368
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.6,9848
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.6,8521
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.5,6869
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.4,49888
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.4,38205
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.4,56596
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.4,12492
Miền trung,Thứ 2,05-10-2020,Phú Yên,G.4,01932
