Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền bắc,Thứ 7,13-06-2020,Nam Định,ĐB,93761
Miền bắc,Thứ 7,13-06-2020,Nam Định,G1,04667
Miền bắc,Thứ 7,13-06-2020,Nam Định,G2,47532
Miền bắc,Thứ 7,13-06-2020,Nam Định,G2,87951
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,11759
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,86462
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,46708
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,13361
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,67967
Miền bắc,Thứ 7,13-06-2020,Nam Định,G3,48048
Miền bắc,Thứ 7,13-06-2020,Nam Định,G4,2004
Miền bắc,Thứ 7,13-06-2020,Nam Định,G4,4806
Miền bắc,Thứ 7,13-06-2020,Nam Định,G4,7321
Miền bắc,Thứ 7,13-06-2020,Nam Định,G4,3239
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,5453
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,7164
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,5750
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,9473
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,6975
Miền bắc,Thứ 7,13-06-2020,Nam Định,G5,8295
Miền bắc,Thứ 7,13-06-2020,Nam Định,G6,219
Miền bắc,Thứ 7,13-06-2020,Nam Định,G6,537
Miền bắc,Thứ 7,13-06-2020,Nam Định,G6,506
Miền bắc,Thứ 7,13-06-2020,Nam Định,G7,79
Miền bắc,Thứ 7,13-06-2020,Nam Định,G7,30
Miền bắc,Thứ 7,13-06-2020,Nam Định,G7,39
Miền bắc,Thứ 7,13-06-2020,Nam Định,G7,38
