Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.8,23
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.7,809
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.6,1699
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.6,9216
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.6,8651
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.5,3837
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,28887
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,52975
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,32549
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,86763
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,59095
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,15444
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.4,97289
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.3,30247
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.3,41220
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.2,64252
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,G.1,07664
Miền nam,Thứ 3,02-06-2020,Bạc Liêu,ĐB,449362
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.8,50
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.7,381
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.6,6091
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.6,7867
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.6,8536
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.5,3599
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,49668
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,53243
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,93046
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,09765
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,00874
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,75849
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.4,99031
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.3,15426
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.3,42515
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.2,27786
Miền nam,Thứ 3,02-06-2020,Bến Tre,G.1,18323
Miền nam,Thứ 3,02-06-2020,Bến Tre,ĐB,483757
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.8,00
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.7,935
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.6,6363
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.6,7537
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.6,7599
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.5,6659
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.4,17984
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.4,97784
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.4,00082
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.4,00776
Miền nam,Thứ 3,02-06-2020,Vũng Tàu,G.4,07786
