Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.8,28
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.7,467
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.6,2560
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.6,8986
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.6,8848
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.5,2229
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,85710
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,48674
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,28093
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,00976
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,66385
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,96766
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.4,98065
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.3,87803
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.3,81122
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.2,86307
Miền nam,Thứ 7,21-03-2020,Bình Phước,G.1,12722
Miền nam,Thứ 7,21-03-2020,Bình Phước,ĐB,417037
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.8,16
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.7,397
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.6,9912
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.6,6705
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.6,9612
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.5,4449
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,38005
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,08938
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,61899
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,10916
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,07762
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,91241
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.4,33231
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.3,18664
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.3,74938
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.2,30167
Miền nam,Thứ 7,21-03-2020,TP.HCM,G.1,53219
Miền nam,Thứ 7,21-03-2020,TP.HCM,ĐB,200391
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.8,61
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.7,650
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.6,2936
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.6,2840
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.6,8957
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.5,5973
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,10233
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,73285
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,12976
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,26223
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,88272
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,24581
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.4,58775
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.3,63354
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.3,41557
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.2,45038
Miền nam,Thứ 7,21-03-2020,Hậu Giang,G.1,32084
Miền nam,Thứ 7,21-03-2020,Hậu Giang,ĐB,555859
Miền nam,Thứ 7,21-03-2020,Long An,G.8,69
Miền nam,Thứ 7,21-03-2020,Long An,G.7,320
Miền nam,Thứ 7,21-03-2020,Long An,G.6,7434
Miền nam,Thứ 7,21-03-2020,Long An,G.6,2105
Miền nam,Thứ 7,21-03-2020,Long An,G.6,0169
Miền nam,Thứ 7,21-03-2020,Long An,G.5,5976
Miền nam,Thứ 7,21-03-2020,Long An,G.4,49527
Miền nam,Thứ 7,21-03-2020,Long An,G.4,46571
Miền nam,Thứ 7,21-03-2020,Long An,G.4,33153
Miền nam,Thứ 7,21-03-2020,Long An,G.4,40995
Miền nam,Thứ 7,21-03-2020,Long An,G.4,48743
Miền nam,Thứ 7,21-03-2020,Long An,G.4,64763
Miền nam,Thứ 7,21-03-2020,Long An,G.4,15839
Miền nam,Thứ 7,21-03-2020,Long An,G.3,25373
Miền nam,Thứ 7,21-03-2020,Long An,G.3,35185
Miền nam,Thứ 7,21-03-2020,Long An,G.2,48416
Miền nam,Thứ 7,21-03-2020,Long An,G.1,75862
Miền nam,Thứ 7,21-03-2020,Long An,ĐB,584482
Miền trung,Thứ 7,21-03-2020,Đà Nẵng,G.8,84
Miền trung,Thứ 7,21-03-2020,Đà Nẵng,G.7,313
Miền trung,Thứ 7,21-03-2020,Đà Nẵng,G.6,2850
Miền trung,Thứ 7,21-03-2020,Đà Nẵng,G.6,2470
