Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 5,05-03-2020,An Giang,G.8,56
Miền nam,Thứ 5,05-03-2020,An Giang,G.7,699
Miền nam,Thứ 5,05-03-2020,An Giang,G.6,2063
Miền nam,Thứ 5,05-03-2020,An Giang,G.6,2719
Miền nam,Thứ 5,05-03-2020,An Giang,G.6,3376
Miền nam,Thứ 5,05-03-2020,An Giang,G.5,2060
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,93449
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,88319
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,39133
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,19657
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,00491
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,81414
Miền nam,Thứ 5,05-03-2020,An Giang,G.4,42936
Miền nam,Thứ 5,05-03-2020,An Giang,G.3,71252
Miền nam,Thứ 5,05-03-2020,An Giang,G.3,90154
Miền nam,Thứ 5,05-03-2020,An Giang,G.2,89763
Miền nam,Thứ 5,05-03-2020,An Giang,G.1,28777
Miền nam,Thứ 5,05-03-2020,An Giang,ĐB,567672
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.8,30
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.7,498
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.6,4645
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.6,0264
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.6,5536
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.5,9136
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,91605
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,79301
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,99806
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,83305
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,61371
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,06210
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.4,55241
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.3,52097
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.3,38440
Miền nam,Thứ 5,05-03-2020,Bình Thuận,G.2,29333
