Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.8,59
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.7,945
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.6,6824
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.6,2687
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.6,9875
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.5,2567
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,60100
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,70724
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,93177
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,75909
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,67177
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,82288
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.4,13359
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.3,55008
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.3,71508
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.2,38242
Miền nam,Thứ 4,21-10-2020,Cần Thơ,G.1,28373
Miền nam,Thứ 4,21-10-2020,Cần Thơ,ĐB,010151
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.8,89
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.7,782
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.6,3113
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.6,0899
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.6,6300
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.5,3153
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,35355
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,71550
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,43516
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,90425
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,36489
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,77969
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.4,74066
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.3,16162
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.3,60390
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.2,48739
Miền nam,Thứ 4,21-10-2020,Đồng Nai,G.1,48056
Miền nam,Thứ 4,21-10-2020,Đồng Nai,ĐB,300934
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.8,03
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.7,412
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.6,7734
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.6,2010
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.6,7600
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.5,5189
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,20183
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,22307
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,90285
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,95657
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,83948
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,94197
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.4,58142
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.3,45647
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.3,39070
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.2,60397
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,G.1,51004
Miền nam,Thứ 4,21-10-2020,Sóc Trăng,ĐB,710023
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.8,35
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.7,119
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.6,7478
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.6,0669
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.6,5800
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.5,3362
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,14289
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,47687
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,16578
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,96559
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,30208
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,74199
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.4,99559
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.3,77381
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.3,67272
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.2,02262
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,G.1,74810
Miền trung,Thứ 4,21-10-2020,Đà Nẵng,ĐB,029061
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.8,74
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.7,831
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.6,3533
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.6,2791
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.6,5546
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.5,1603
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,09166
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,02593
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,00367
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,10644
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,99432
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,48639
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.4,20702
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.3,03497
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.3,88063
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.2,02664
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,G.1,44115
Miền trung,Thứ 4,21-10-2020,Khánh Hòa,ĐB,087205
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,ĐB,07043
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G1,44111
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G2,38003
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G2,35799
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,36053
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,21949
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,03090
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,28157
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,68096
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G3,26125
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G4,6070
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G4,9387
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G4,5427
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G4,8616
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,4170
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,5179
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,3058
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,1415
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,1372
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G5,0254
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G6,270
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G6,815
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G6,851
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G7,61
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G7,62
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G7,64
Miền bắc,Thứ 4,21-10-2020,Bắc Ninh,G7,02
