Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,CN,01-11-2020,Đà Lạt,G.8,90
Miền nam,CN,01-11-2020,Đà Lạt,G.7,334
Miền nam,CN,01-11-2020,Đà Lạt,G.6,8126
Miền nam,CN,01-11-2020,Đà Lạt,G.6,4135
Miền nam,CN,01-11-2020,Đà Lạt,G.6,4632
Miền nam,CN,01-11-2020,Đà Lạt,G.5,6271
Miền nam,CN,01-11-2020,Đà Lạt,G.4,59172
Miền nam,CN,01-11-2020,Đà Lạt,G.4,41050
Miền nam,CN,01-11-2020,Đà Lạt,G.4,06677
Miền nam,CN,01-11-2020,Đà Lạt,G.4,47481
Miền nam,CN,01-11-2020,Đà Lạt,G.4,99340
Miền nam,CN,01-11-2020,Đà Lạt,G.4,90026
Miền nam,CN,01-11-2020,Đà Lạt,G.4,62009
Miền nam,CN,01-11-2020,Đà Lạt,G.3,97836
Miền nam,CN,01-11-2020,Đà Lạt,G.3,28720
Miền nam,CN,01-11-2020,Đà Lạt,G.2,38119
Miền nam,CN,01-11-2020,Đà Lạt,G.1,30357
Miền nam,CN,01-11-2020,Đà Lạt,ĐB,965863
Miền nam,CN,01-11-2020,Kiên Giang,G.8,54
Miền nam,CN,01-11-2020,Kiên Giang,G.7,194
Miền nam,CN,01-11-2020,Kiên Giang,G.6,1027
Miền nam,CN,01-11-2020,Kiên Giang,G.6,7869
Miền nam,CN,01-11-2020,Kiên Giang,G.6,9557
Miền nam,CN,01-11-2020,Kiên Giang,G.5,6246
Miền nam,CN,01-11-2020,Kiên Giang,G.4,40038
Miền nam,CN,01-11-2020,Kiên Giang,G.4,74012
Miền nam,CN,01-11-2020,Kiên Giang,G.4,22111
Miền nam,CN,01-11-2020,Kiên Giang,G.4,55407
Miền nam,CN,01-11-2020,Kiên Giang,G.4,31241
Miền nam,CN,01-11-2020,Kiên Giang,G.4,18704
Miền nam,CN,01-11-2020,Kiên Giang,G.4,06755
Miền nam,CN,01-11-2020,Kiên Giang,G.3,83330
Miền nam,CN,01-11-2020,Kiên Giang,G.3,31238
Miền nam,CN,01-11-2020,Kiên Giang,G.2,77223
Miền nam,CN,01-11-2020,Kiên Giang,G.1,61236
Miền nam,CN,01-11-2020,Kiên Giang,ĐB,962273
Miền nam,CN,01-11-2020,Tiền Giang,G.8,29
Miền nam,CN,01-11-2020,Tiền Giang,G.7,748
Miền nam,CN,01-11-2020,Tiền Giang,G.6,0127
Miền nam,CN,01-11-2020,Tiền Giang,G.6,8158
Miền nam,CN,01-11-2020,Tiền Giang,G.6,9247
Miền nam,CN,01-11-2020,Tiền Giang,G.5,5545
Miền nam,CN,01-11-2020,Tiền Giang,G.4,59336
Miền nam,CN,01-11-2020,Tiền Giang,G.4,03365
Miền nam,CN,01-11-2020,Tiền Giang,G.4,22620
Miền nam,CN,01-11-2020,Tiền Giang,G.4,71140
Miền nam,CN,01-11-2020,Tiền Giang,G.4,65296
Miền nam,CN,01-11-2020,Tiền Giang,G.4,49713
Miền nam,CN,01-11-2020,Tiền Giang,G.4,56844
Miền nam,CN,01-11-2020,Tiền Giang,G.3,28928
Miền nam,CN,01-11-2020,Tiền Giang,G.3,77892
Miền nam,CN,01-11-2020,Tiền Giang,G.2,48241
Miền nam,CN,01-11-2020,Tiền Giang,G.1,88378
Miền nam,CN,01-11-2020,Tiền Giang,ĐB,468650
Miền trung,CN,01-11-2020,Khánh Hòa,G.8,51
Miền trung,CN,01-11-2020,Khánh Hòa,G.7,991
Miền trung,CN,01-11-2020,Khánh Hòa,G.6,4456
Miền trung,CN,01-11-2020,Khánh Hòa,G.6,8838
Miền trung,CN,01-11-2020,Khánh Hòa,G.6,5798
Miền trung,CN,01-11-2020,Khánh Hòa,G.5,4122
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,26853
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,18455
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,45210
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,76226
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,59406
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,68295
Miền trung,CN,01-11-2020,Khánh Hòa,G.4,67080
Miền trung,CN,01-11-2020,Khánh Hòa,G.3,14773
Miền trung,CN,01-11-2020,Khánh Hòa,G.3,84667
Miền trung,CN,01-11-2020,Khánh Hòa,G.2,52004
Miền trung,CN,01-11-2020,Khánh Hòa,G.1,66541
Miền trung,CN,01-11-2020,Khánh Hòa,ĐB,412894
Miền trung,CN,01-11-2020,Kon Tum,G.8,85
Miền trung,CN,01-11-2020,Kon Tum,G.7,691
Miền trung,CN,01-11-2020,Kon Tum,G.6,1214
Miền trung,CN,01-11-2020,Kon Tum,G.6,8212
Miền trung,CN,01-11-2020,Kon Tum,G.6,9872
Miền trung,CN,01-11-2020,Kon Tum,G.5,3540
Miền trung,CN,01-11-2020,Kon Tum,G.4,99930
Miền trung,CN,01-11-2020,Kon Tum,G.4,71457
Miền trung,CN,01-11-2020,Kon Tum,G.4,54404
Miền trung,CN,01-11-2020,Kon Tum,G.4,77617
Miền trung,CN,01-11-2020,Kon Tum,G.4,00205
Miền trung,CN,01-11-2020,Kon Tum,G.4,20475
Miền trung,CN,01-11-2020,Kon Tum,G.4,38498
Miền trung,CN,01-11-2020,Kon Tum,G.3,20765
Miền trung,CN,01-11-2020,Kon Tum,G.3,49164
Miền trung,CN,01-11-2020,Kon Tum,G.2,18633
Miền trung,CN,01-11-2020,Kon Tum,G.1,77791
Miền trung,CN,01-11-2020,Kon Tum,ĐB,498405
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,ĐB,97059
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G1,75778
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G2,45173
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G2,32668
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,70353
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,93702
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,71338
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,80690
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,36694
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G3,78156
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G4,5765
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G4,8282
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G4,9274
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G4,2189
Miền bắc,Chủ Nhật,01-11-2020,Thái Bình,G5,5563
