Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,CN,03-05-2020,Đà Lạt,G.8,57
Miền nam,CN,03-05-2020,Đà Lạt,G.7,141
Miền nam,CN,03-05-2020,Đà Lạt,G.6,1515
Miền nam,CN,03-05-2020,Đà Lạt,G.6,6533
Miền nam,CN,03-05-2020,Đà Lạt,G.6,9735
Miền nam,CN,03-05-2020,Đà Lạt,G.5,7421
Miền nam,CN,03-05-2020,Đà Lạt,G.4,15420
Miền nam,CN,03-05-2020,Đà Lạt,G.4,65922
Miền nam,CN,03-05-2020,Đà Lạt,G.4,23244
Miền nam,CN,03-05-2020,Đà Lạt,G.4,68813
Miền nam,CN,03-05-2020,Đà Lạt,G.4,25127
Miền nam,CN,03-05-2020,Đà Lạt,G.4,18986
Miền nam,CN,03-05-2020,Đà Lạt,G.4,87062
Miền nam,CN,03-05-2020,Đà Lạt,G.3,88506
Miền nam,CN,03-05-2020,Đà Lạt,G.3,31073
Miền nam,CN,03-05-2020,Đà Lạt,G.2,33617
Miền nam,CN,03-05-2020,Đà Lạt,G.1,25080
Miền nam,CN,03-05-2020,Đà Lạt,ĐB,534833
Miền nam,CN,03-05-2020,Kiên Giang,G.8,77
Miền nam,CN,03-05-2020,Kiên Giang,G.7,016
Miền nam,CN,03-05-2020,Kiên Giang,G.6,0648
Miền nam,CN,03-05-2020,Kiên Giang,G.6,4093
Miền nam,CN,03-05-2020,Kiên Giang,G.6,6457
Miền nam,CN,03-05-2020,Kiên Giang,G.5,1471
Miền nam,CN,03-05-2020,Kiên Giang,G.4,87295
Miền nam,CN,03-05-2020,Kiên Giang,G.4,23152
Miền nam,CN,03-05-2020,Kiên Giang,G.4,85705
Miền nam,CN,03-05-2020,Kiên Giang,G.4,39383
Miền nam,CN,03-05-2020,Kiên Giang,G.4,13572
Miền nam,CN,03-05-2020,Kiên Giang,G.4,32530
Miền nam,CN,03-05-2020,Kiên Giang,G.4,75506
Miền nam,CN,03-05-2020,Kiên Giang,G.3,35429
Miền nam,CN,03-05-2020,Kiên Giang,G.3,84872
Miền nam,CN,03-05-2020,Kiên Giang,G.2,10597
Miền nam,CN,03-05-2020,Kiên Giang,G.1,93387
Miền nam,CN,03-05-2020,Kiên Giang,ĐB,594533
Miền nam,CN,03-05-2020,Tiền Giang,G.8,14
Miền nam,CN,03-05-2020,Tiền Giang,G.7,513
Miền nam,CN,03-05-2020,Tiền Giang,G.6,4454
Miền nam,CN,03-05-2020,Tiền Giang,G.6,7045
Miền nam,CN,03-05-2020,Tiền Giang,G.6,7239
Miền nam,CN,03-05-2020,Tiền Giang,G.5,1354
Miền nam,CN,03-05-2020,Tiền Giang,G.4,85633
Miền nam,CN,03-05-2020,Tiền Giang,G.4,61194
Miền nam,CN,03-05-2020,Tiền Giang,G.4,15211
Miền nam,CN,03-05-2020,Tiền Giang,G.4,56591
Miền nam,CN,03-05-2020,Tiền Giang,G.4,46433
Miền nam,CN,03-05-2020,Tiền Giang,G.4,77199
Miền nam,CN,03-05-2020,Tiền Giang,G.4,81619
Miền nam,CN,03-05-2020,Tiền Giang,G.3,62835
Miền nam,CN,03-05-2020,Tiền Giang,G.3,85191
Miền nam,CN,03-05-2020,Tiền Giang,G.2,18884
Miền nam,CN,03-05-2020,Tiền Giang,G.1,00485
Miền nam,CN,03-05-2020,Tiền Giang,ĐB,057036
Miền trung,CN,03-05-2020,Khánh Hòa,G.8,18
Miền trung,CN,03-05-2020,Khánh Hòa,G.7,766
Miền trung,CN,03-05-2020,Khánh Hòa,G.6,2527
Miền trung,CN,03-05-2020,Khánh Hòa,G.6,9740
Miền trung,CN,03-05-2020,Khánh Hòa,G.6,4320
Miền trung,CN,03-05-2020,Khánh Hòa,G.5,9387
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,14752
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,54378
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,96260
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,09850
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,43853
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,15182
Miền trung,CN,03-05-2020,Khánh Hòa,G.4,72653
Miền trung,CN,03-05-2020,Khánh Hòa,G.3,85540
Miền trung,CN,03-05-2020,Khánh Hòa,G.3,94753
Miền trung,CN,03-05-2020,Khánh Hòa,G.2,67313
Miền trung,CN,03-05-2020,Khánh Hòa,G.1,00874
Miền trung,CN,03-05-2020,Khánh Hòa,ĐB,518683
Miền trung,CN,03-05-2020,Kon Tum,G.8,42
Miền trung,CN,03-05-2020,Kon Tum,G.7,167
Miền trung,CN,03-05-2020,Kon Tum,G.6,8899
Miền trung,CN,03-05-2020,Kon Tum,G.6,8054
Miền trung,CN,03-05-2020,Kon Tum,G.6,1018
Miền trung,CN,03-05-2020,Kon Tum,G.5,5241
Miền trung,CN,03-05-2020,Kon Tum,G.4,41993
Miền trung,CN,03-05-2020,Kon Tum,G.4,13747
Miền trung,CN,03-05-2020,Kon Tum,G.4,57764
Miền trung,CN,03-05-2020,Kon Tum,G.4,78279
Miền trung,CN,03-05-2020,Kon Tum,G.4,44837
Miền trung,CN,03-05-2020,Kon Tum,G.4,89376
Miền trung,CN,03-05-2020,Kon Tum,G.4,22829
Miền trung,CN,03-05-2020,Kon Tum,G.3,14130
Miền trung,CN,03-05-2020,Kon Tum,G.3,27605
Miền trung,CN,03-05-2020,Kon Tum,G.2,51725
Miền trung,CN,03-05-2020,Kon Tum,G.1,94894
Miền trung,CN,03-05-2020,Kon Tum,ĐB,191411
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,ĐB,08247
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G1,89507
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G2,37009
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G2,55789
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,05454
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,78208
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,26771
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,37657
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,41916
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G3,82114
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G4,4828
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G4,3542
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G4,6890
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G4,6718
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,8757
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,7473
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,3139
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,6788
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,2868
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G5,4763
Miền bắc,Chủ Nhật,03-05-2020,Thái Bình,G6,780
