Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.8,85
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.7,463
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.6,2209
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.6,0078
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.6,7663
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.5,3803
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,49241
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,49190
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,30701
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,22309
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,93540
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,50452
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.4,24178
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.3,38356
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.3,54661
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.2,68380
Miền nam,Thứ 6,24-01-2020,Bình Dương,G.1,13018
Miền nam,Thứ 6,24-01-2020,Bình Dương,ĐB,086430
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.8,86
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.7,826
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.6,9861
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.6,0845
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.6,9921
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.5,2905
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,60325
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,27604
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,31320
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,97761
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,47977
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,79504
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.4,16831
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.3,09028
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.3,76644
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.2,60133
Miền nam,Thứ 6,24-01-2020,Trà Vinh,G.1,41353
Miền nam,Thứ 6,24-01-2020,Trà Vinh,ĐB,586971
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.8,93
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.7,716
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.6,7804
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.6,9246
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.6,2451
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.5,0780
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,76614
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,15542
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,27130
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,92587
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,97532
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,07596
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.4,83298
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.3,50819
Miền nam,Thứ 6,24-01-2020,Vĩnh Long,G.3,30794
