Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.8,11
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.7,713
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.6,3430
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.6,0896
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.6,2084
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.5,9746
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,70765
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,81787
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,75162
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,63633
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,20034
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,47314
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.4,62457
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.3,57773
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.3,87718
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.2,32811
Miền trung,Thứ 6,31-07-2020,Gia Lai,G.1,06753
Miền trung,Thứ 6,31-07-2020,Gia Lai,ĐB,258093
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.8,05
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.7,443
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.6,3599
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.6,6839
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.6,9599
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.5,0230
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,83425
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,24592
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,79843
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,31268
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,73596
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,92880
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.4,63572
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.3,45394
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.3,04831
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.2,93476
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,G.1,73066
Miền trung,Thứ 6,31-07-2020,Ninh Thuận,ĐB,512228
