Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.8,91
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.7,883
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.6,6958
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.6,1518
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.6,8444
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.5,3292
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,82038
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,33577
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,78661
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,36736
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,94064
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,05570
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.4,48504
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.3,29624
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.3,99515
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.2,54590
Miền nam,Thứ 6,21-02-2020,Bình Dương,G.1,49605
Miền nam,Thứ 6,21-02-2020,Bình Dương,ĐB,882650
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.8,74
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.7,037
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.6,4831
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.6,5598
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.6,1899
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.5,7717
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,74114
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,92824
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,60843
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,13730
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,93946
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,50288
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.4,39216
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.3,38526
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.3,50864
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.2,13427
Miền nam,Thứ 6,21-02-2020,Trà Vinh,G.1,50742
Miền nam,Thứ 6,21-02-2020,Trà Vinh,ĐB,976073
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.8,76
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.7,773
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.6,6273
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.6,7749
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.6,1762
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.5,6914
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,62480
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,29021
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,43318
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,36035
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,48809
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,54682
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.4,68909
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.3,85739
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.3,64659
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.2,10095
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,G.1,16104
Miền nam,Thứ 6,21-02-2020,Vĩnh Long,ĐB,153238
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.8,90
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.7,346
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.6,2425
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.6,6365
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.6,4396
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.5,8297
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,45963
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,95806
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,62496
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,46777
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,03214
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,35168
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.4,34046
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.3,04861
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.3,89985
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.2,86369
Miền trung,Thứ 6,21-02-2020,Gia Lai,G.1,10838
Miền trung,Thứ 6,21-02-2020,Gia Lai,ĐB,774015
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.8,35
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.7,791
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.6,5489
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.6,0772
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.6,9328
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.5,3241
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,18253
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,13608
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,25161
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,97155
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,19396
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,45333
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.4,08855
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.3,85926
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.3,25702
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.2,47540
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,G.1,27685
Miền trung,Thứ 6,21-02-2020,Ninh Thuận,ĐB,144484
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,ĐB,36089
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G1,26541
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G2,33678
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G2,81840
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,88284
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,23901
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,70618
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,26101
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,96261
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G3,59205
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G4,6019
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G4,0705
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G4,1674
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G4,8595
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,8929
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,7766
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,5065
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,5562
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,6785
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G5,3432
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G6,174
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G6,366
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G6,533
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G7,57
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G7,40
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G7,61
Miền bắc,Thứ 6,21-02-2020,Hải Phòng,G7,67
