Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.8,68
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.7,457
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.6,2853
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.6,2364
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.6,1892
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.5,9720
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,36076
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,29049
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,34739
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,95808
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,65885
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,10996
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.4,46176
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.3,83573
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.3,19555
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.2,49925
Miền nam,Thứ 2,10-08-2020,Cà Mau,G.1,69630
Miền nam,Thứ 2,10-08-2020,Cà Mau,ĐB,956202
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.8,30
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.7,789
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.6,2382
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.6,5228
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.6,4392
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.5,8079
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,70685
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,45014
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,28338
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,46369
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,21872
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,39276
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.4,28352
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.3,87756
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.3,44701
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.2,15628
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,G.1,21266
Miền nam,Thứ 2,10-08-2020,Đồng Tháp,ĐB,673483
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.8,80
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.7,155
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.6,4925
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.6,8393
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.6,1141
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.5,1030
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,94355
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,59044
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,70388
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,20136
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,63744
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,44559
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.4,88898
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.3,53935
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.3,65937
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.2,07051
Miền nam,Thứ 2,10-08-2020,TP.HCM,G.1,70258
Miền nam,Thứ 2,10-08-2020,TP.HCM,ĐB,703980
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.8,97
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.7,851
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.6,4377
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.6,8897
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.6,9674
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.5,8576
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,54437
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,12061
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,32351
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,68323
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,80841
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,36537
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.4,61535
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.3,37673
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.3,86081
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.2,79250
Miền trung,Thứ 2,10-08-2020,Phú Yên,G.1,82774
Miền trung,Thứ 2,10-08-2020,Phú Yên,ĐB,242845
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.8,25
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.7,516
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.6,5811
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.6,3216
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.6,2003
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.5,6489
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,37131
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,23442
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,61654
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,31709
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,26011
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,12637
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.4,32539
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.3,60200
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.3,19578
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.2,47579
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,G.1,40705
Miền trung,Thứ 2,10-08-2020,Thừa Thiên Huế,ĐB,274697
Miền bắc,Thứ 2,10-08-2020,Hà Nội,ĐB,98628
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G1,34931
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G2,16344
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G2,00912
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,05262
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,09945
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,41868
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,07101
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,19916
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G3,02992
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G4,6017
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G4,5041
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G4,7570
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G4,9522
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,6455
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,3444
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,2944
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,8637
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,0302
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G5,3091
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G6,540
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G6,159
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G6,680
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G7,84
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G7,08
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G7,75
Miền bắc,Thứ 2,10-08-2020,Hà Nội,G7,46
