Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 5,30-07-2020,An Giang,G.8,72
Miền nam,Thứ 5,30-07-2020,An Giang,G.7,831
Miền nam,Thứ 5,30-07-2020,An Giang,G.6,2180
Miền nam,Thứ 5,30-07-2020,An Giang,G.6,5410
Miền nam,Thứ 5,30-07-2020,An Giang,G.6,4278
Miền nam,Thứ 5,30-07-2020,An Giang,G.5,3837
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,16532
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,08750
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,59874
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,27349
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,02687
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,17541
Miền nam,Thứ 5,30-07-2020,An Giang,G.4,38868
Miền nam,Thứ 5,30-07-2020,An Giang,G.3,80763
Miền nam,Thứ 5,30-07-2020,An Giang,G.3,01110
Miền nam,Thứ 5,30-07-2020,An Giang,G.2,46303
Miền nam,Thứ 5,30-07-2020,An Giang,G.1,70136
Miền nam,Thứ 5,30-07-2020,An Giang,ĐB,800576
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.8,87
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.7,713
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.6,0497
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.6,9106
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.6,4491
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.5,9304
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,45518
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,07891
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,21183
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,88221
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,34206
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,99628
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.4,17098
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.3,25152
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.3,24194
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.2,90179
Miền nam,Thứ 5,30-07-2020,Bình Thuận,G.1,21233
Miền nam,Thứ 5,30-07-2020,Bình Thuận,ĐB,205085
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.8,30
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.7,357
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.6,8468
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.6,4623
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.6,0784
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.5,6622
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.4,39172
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.4,72987
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.4,62737
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.4,39379
Miền nam,Thứ 5,30-07-2020,Tây Ninh,G.4,47760
