Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.8,07
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.7,379
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.6,9153
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.6,4470
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.6,3157
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.5,0499
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,15521
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,96305
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,63755
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,58187
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,25234
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,30616
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.4,09844
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.3,66004
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.3,59273
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.2,79100
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,G.1,06043
Miền nam,Thứ 3,23-06-2020,Bạc Liêu,ĐB,883277
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.8,42
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.7,795
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.6,5080
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.6,6056
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.6,5171
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.5,1765
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,85958
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,26313
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,34637
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,20629
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,10202
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,47188
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.4,80760
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.3,68952
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.3,68001
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.2,00921
Miền nam,Thứ 3,23-06-2020,Bến Tre,G.1,23316
Miền nam,Thứ 3,23-06-2020,Bến Tre,ĐB,699888
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.8,50
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.7,098
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.6,8380
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.6,5636
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.6,6301
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.5,1347
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,93508
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,67233
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,49770
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,81185
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,31622
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,95717
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.4,49534
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.3,53144
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.3,69087
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.2,43656
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,G.1,35885
Miền nam,Thứ 3,23-06-2020,Vũng Tàu,ĐB,524034
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.8,80
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.7,520
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.6,3421
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.6,2706
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.6,4609
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.5,1326
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,11245
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,45797
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,74724
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,47842
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,03989
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,51105
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.4,42193
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.3,52622
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.3,24576
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.2,75065
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,G.1,28689
Miền trung,Thứ 3,23-06-2020,Đắc Lắc,ĐB,025257
Miền trung,Thứ 3,23-06-2020,Quảng Nam,G.8,24
Miền trung,Thứ 3,23-06-2020,Quảng Nam,G.7,301
Miền trung,Thứ 3,23-06-2020,Quảng Nam,G.6,7437
Miền trung,Thứ 3,23-06-2020,Quảng Nam,G.6,7942
