Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.8,31
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.7,538
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.6,2850
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.6,0646
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.6,5339
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.5,4754
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,89555
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,91617
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,18504
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,29904
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,33002
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,56639
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.4,13295
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.3,69733
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.3,63850
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.2,77261
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,G.1,10656
Miền nam,Thứ 3,25-08-2020,Bạc Liêu,ĐB,557724
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.8,28
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.7,084
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.6,2704
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.6,9018
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.6,5283
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.5,3137
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,20146
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,73405
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,06319
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,77615
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,63715
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,07393
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.4,74113
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.3,69582
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.3,73762
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.2,50250
Miền nam,Thứ 3,25-08-2020,Bến Tre,G.1,36104
Miền nam,Thứ 3,25-08-2020,Bến Tre,ĐB,009953
Miền nam,Thứ 3,25-08-2020,Vũng Tàu,G.8,51
Miền nam,Thứ 3,25-08-2020,Vũng Tàu,G.7,172
Miền nam,Thứ 3,25-08-2020,Vũng Tàu,G.6,5836
Miền nam,Thứ 3,25-08-2020,Vũng Tàu,G.6,5052
Miền nam,Thứ 3,25-08-2020,Vũng Tàu,G.6,0005
