Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 5,27-08-2020,An Giang,G.8,71
Miền nam,Thứ 5,27-08-2020,An Giang,G.7,089
Miền nam,Thứ 5,27-08-2020,An Giang,G.6,3518
Miền nam,Thứ 5,27-08-2020,An Giang,G.6,1592
Miền nam,Thứ 5,27-08-2020,An Giang,G.6,2531
Miền nam,Thứ 5,27-08-2020,An Giang,G.5,2542
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,47623
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,59988
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,40381
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,65875
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,99734
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,75009
Miền nam,Thứ 5,27-08-2020,An Giang,G.4,41057
Miền nam,Thứ 5,27-08-2020,An Giang,G.3,81200
Miền nam,Thứ 5,27-08-2020,An Giang,G.3,40647
Miền nam,Thứ 5,27-08-2020,An Giang,G.2,08932
Miền nam,Thứ 5,27-08-2020,An Giang,G.1,94434
Miền nam,Thứ 5,27-08-2020,An Giang,ĐB,264348
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.8,77
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.7,029
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.6,9557
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.6,9120
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.6,6468
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.5,2854
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,82526
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,85134
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,57511
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,13115
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,16226
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,67801
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.4,06179
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.3,43259
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.3,61428
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.2,02314
Miền nam,Thứ 5,27-08-2020,Bình Thuận,G.1,16936
Miền nam,Thứ 5,27-08-2020,Bình Thuận,ĐB,345448
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.8,09
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.7,717
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.6,1199
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.6,3504
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.6,5741
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.5,4861
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,39075
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,01700
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,64207
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,01323
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,36931
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,81126
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.4,46079
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.3,61087
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.3,73969
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.2,35737
Miền nam,Thứ 5,27-08-2020,Tây Ninh,G.1,71659
Miền nam,Thứ 5,27-08-2020,Tây Ninh,ĐB,807743
