Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.8,27
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.7,061
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.6,0898
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.6,3943
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.6,1718
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.5,7100
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,28351
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,90867
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,36852
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,36810
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,75865
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,91539
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.4,81751
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.3,83349
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.3,25563
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.2,22221
Miền nam,Thứ 6,08-05-2020,Bình Dương,G.1,81113
Miền nam,Thứ 6,08-05-2020,Bình Dương,ĐB,712692
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.8,63
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.7,840
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.6,5464
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.6,3748
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.6,4171
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.5,8995
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,90418
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,97796
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,46349
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,08646
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,35107
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,35914
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.4,93123
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.3,81507
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.3,78093
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.2,56658
Miền nam,Thứ 6,08-05-2020,Trà Vinh,G.1,56803
Miền nam,Thứ 6,08-05-2020,Trà Vinh,ĐB,871869
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.8,81
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.7,245
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.6,4922
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.6,5596
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.6,9942
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.5,5785
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,27444
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,27122
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,69007
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,93959
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,95965
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,26105
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.4,93889
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.3,87585
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.3,05520
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.2,49260
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,G.1,55829
Miền nam,Thứ 6,08-05-2020,Vĩnh Long,ĐB,664207
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.8,48
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.7,734
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.6,6632
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.6,5971
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.6,3432
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.5,4919
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,48825
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,58354
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,37681
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,99615
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,43080
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,25020
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.4,83366
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.3,95027
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.3,60769
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.2,98565
Miền trung,Thứ 6,08-05-2020,Gia Lai,G.1,76049
Miền trung,Thứ 6,08-05-2020,Gia Lai,ĐB,013110
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.8,98
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.7,134
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.6,5589
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.6,5993
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.6,7533
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.5,4785
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,18931
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,88277
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,16495
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,81451
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,14721
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,05982
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.4,91124
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.3,16974
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.3,50224
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.2,54747
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,G.1,27621
Miền trung,Thứ 6,08-05-2020,Ninh Thuận,ĐB,414494
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,ĐB,67241
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G1,56017
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G2,77028
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G2,65457
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,26855
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,69459
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,76907
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,87154
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,23957
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G3,26148
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G4,3704
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G4,5913
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G4,9223
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G4,6079
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,1874
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,5668
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,0874
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,2328
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,1610
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G5,0403
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G6,959
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G6,645
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G6,907
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G7,42
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G7,67
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G7,86
Miền bắc,Thứ 6,08-05-2020,Hải Phòng,G7,95
