Miền,Thứ,Ngày,Tỉnh,Tên giải,Mã giải
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.8,29
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.7,243
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.6,7179
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.6,4662
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.6,3522
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.5,0695
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,37204
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,33896
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,23448
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,06823
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,24201
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,97774
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.4,55185
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.3,68183
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.3,12304
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.2,59067
Miền nam,Thứ 4,20-06-2020,Cần Thơ,G.1,06540
Miền nam,Thứ 4,20-06-2020,Cần Thơ,ĐB,643304
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.8,01
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.7,958
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.6,3118
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.6,9746
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.6,6665
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.5,5388
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,81552
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,64284
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,88010
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,52758
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,57044
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,21306
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.4,18921
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.3,52123
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.3,56397
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.2,41860
Miền nam,Thứ 4,20-06-2020,Đồng Nai,G.1,55607
Miền nam,Thứ 4,20-06-2020,Đồng Nai,ĐB,768660
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.8,61
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.7,087
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.6,6928
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.6,8129
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.6,1804
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.5,8938
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,69110
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,23804
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,11088
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,48017
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,45120
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,79333
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.4,59901
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.3,19157
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.3,90661
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.2,79612
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,G.1,76893
Miền nam,Thứ 4,20-06-2020,Sóc Trăng,ĐB,804803
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.8,81
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.7,112
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.6,7989
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.6,5121
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.6,6280
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.5,0998
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,49440
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,16551
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,15279
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,98564
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,04120
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,30463
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.4,46077
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.3,00386
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.3,17596
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.2,14028
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,G.1,83227
Miền trung,Thứ 4,20-06-2020,Đà Nẵng,ĐB,062301
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.8,50
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.7,550
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.6,9843
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.6,7105
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.6,5777
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.5,7186
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.4,57557
Miền trung,Thứ 4,20-06-2020,Khánh Hòa,G.4,50994
